Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Konstantinos,9,248546,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 17.6-7,Constantinople: was driven by <Michael 4> from Constantinople,Konstantinos 9:  Constantinople: Specifies presence ,Specifies presence,,,,
Konstantinos,9,248548,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 19.1-6,Constantinople: was greeted with great splendour when he came near to Constantinople,Konstantinos 9: Constantinople: Specifies presence near,Specifies presence near,,,,
Ioannes,18,248590,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 192.3-4,Constantinople: lived in Constantinople,Ioannes 18: Constantinople: Specifies presence ,Specifies presence,,,,
Ioannes,289,248591,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 192.3-4,Constantinople: lived in Constantinople,Ioannes 289: Constantinople: Specifies presence ,Specifies presence,,,,
Maria,64,248550,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 50.2,Constantinople: was brought to Constantinople,Maria 64: Constantinople: Specifies presence ,Specifies presence,,,,
Maria,64,248551,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 53.5-6,Constantinople: was summoned to Constantinople,Maria 64: Constantinople: Specifies presence near,Specifies presence near,,,,
Maria,64,248552,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 53.9-10,Constantinople: arrived at Constantinople,Maria 64: Constantinople: Specifies presence ,Specifies presence,,,,
Georgios,62,248562,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 80.5-6,Constantinople: was to be all but driven from by <Konstantinos 9> Constantinople,Georgios 62: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantinos,9,248570,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VI 93.10-13,Constantinople: drew up his ships in the harbour on the other (Asiatic) side Constantinople,Konstantinos 9: Constantinople: Specifies presence near,Specifies presence near,,,,
Michael,61,248598,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 19.7,Constantinople: completed the first stage of the journey from Constantinople,Michael 61: Constantinople: Does not specify presence,Does not specify presence,,,,
Konstantinos,13,248599,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 19.7,Constantinople: completed the first stage of the journey from Constantinople,Konstantinos 13: Constantinople: Does not specify presence,Does not specify presence,,,,
Theodoros,106,248600,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 19.7,Constantinople: completed the first stage of the journey from Constantinople,Theodoros 106: Constantinople: Does not specify presence,Does not specify presence,,,,
Michael,61,248601,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 33.8-9,Constantinople: sailed for and reached palace harbour of Constantinople,Michael 61: Constantinople: Specifies presence ,Specifies presence,,,,
Konstantinos,13,248602,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 33.8-9,Constantinople: sailed for and reached palace harbour of Constantinople,Konstantinos 13: Constantinople: Specifies presence ,Specifies presence,,,,
Theodoros,106,248603,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 33.8-9,Constantinople: sailed for and reached palace harbour of Constantinople,Theodoros 106: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymi,7013,248607,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 36.11,Constantinople: created turmoil in Constantinople,Anonymi 7013: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymus,7026,248606,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 36.7,Constantinople: was newly arrived (at <Isaakios 1>'s camp) from Constantinople,Anonymus 7026: Constantinople: Does not specify presence,Does not specify presence,,,,
Anonymus,7027,248608,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 37.11-16,Constantinople: he reported the preparation of Constantinople,Anonymus 7027: Constantinople: Does not specify presence,Does not specify presence,,,,
Isaakios,1,248609,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 40.10-19,Constantinople: on entering was greeted with celebrations by the entire population of Constantinople,Isaakios 1:  Constantinople: Specifies presence ,Specifies presence,,,,
Isaakios,1,248612,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 45.1; 45.4,Constantinople: he was afraid his army might cause trouble in Constantinople,Isaakios 1:  Constantinople: Specifies presence ,Specifies presence,,,,
Michael,11,248613,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 65.6,Constantinople: was expelled by <Isaakios 1> from Constantinople,Michael 11: Constantinople: Specifies presence ,Specifies presence,,,,
Isaakios,1,248595,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 7.5,Constantinople: cut off all roads to Constantinople,Isaakios 1: Constantinople: Specifies presence near,Specifies presence near,,,,
Isaakios,1,248614,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 70.24,Constantinople: returned to (after the Pechenegs fled) Constantinople,Isaakios 1:Constantinople: Specifies presence ,Specifies presence,,,,
Isaakios,1,248616,Constantinople: Blachernai,,,Psellos: Chronographia,VII 76.2,Constantinople: Blachernai: put in from the royal trireme at  Blachernai,"Isaakios 1:Constantinople, Blachernai: Specifies presence ",Specifies presence,,,,
Isaakios,1,248596,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 9.2,Constantinople: came near to Constantinople,Isaakios 1: Constantinople: Specifies presence near,Specifies presence near,,,,
Michael,6,248597,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VII 9.2,Constantinople: only had authority over  Constantinople,Michael 6: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymus,7039,248625,Constantinople,https://pleiades.stoa.org/places/520998,,Psellos: Chronographia,VIIb 23.5,Constantinople: announced the terrible news (of Mantzikert) in Constantinople,Anonymus 7039: Constantinople: Specifies presence ,Specifies presence,,,,
Tancred,101,447681,Syracuse,,,Ralph of Caen,43,Syracuse: was left Syracuse when <Richard 4001> went on crusade,Tancred 101: Syracuse: Specifies presence near,Specifies presence near,,,,
Richard,4001,447682,Syracuse,,,Ralph of Caen,43,"Syracuse: when he went on crusade, left Syracuse to his brother <Tancred 101>",Richard 4001: Syracuse:  Does not specify presence ,Does not specify presence,,,,
Raimbold,4002,447887,Chartres,,,Ralph of Caen,119,Chartres: was a nobleman from Chartres,Raimbold 4002: Chartres: Specifies presence near,Specifies presence near,,,,
Tancred,61,447915,Beisan (Skythopolis),,,Ralph of Caen,139,Beisan (Skythopolis): he fortified Beisan,Tancred 61: Beisan (Skythopolis). Specifies presence ,Specifies presence,,,,
Radulf,112,447742,Caen,,,Ralph of Caen,1 tit,Caen: he was originally from Caen,Radulf 112: Caen:Specifies presence near,Specifies presence near,,,,
Michael,20101,417009,Taron (Armenia),,,Seals,,Taron: was anagrapheus of Taron,Dignity,Dignity,,,,
Alexios,11,417027,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,For all of the seals we cannot say for absolute certain that the person was present in that place. Examples like the patriarch of constantinople can be categorised more securely as present than an official of the eastern themes.
Alexios,11,417038,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Michael,11,417044,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Eustratios,11,417055,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Leon,11,417057,Constantinople,https://pleiades.stoa.org/places/520998,,Seals,,Constantinople: was patriarch of Constantinople,Dignity,Dignity,,,,
Thomas,20102,417128,Aleppo,https://pleiades.stoa.org/places/658409,,Seals,,Beroe: was ek prosopou of Beroe,Dignity,Dignity,,,,
Thomas,20102,417129,Aleppo,https://pleiades.stoa.org/places/658409,,Seals,,Berroia: was ek prosopou of Berroia,Dignity,Dignity,,,,
Basileios,20112,417130,Aleppo,https://pleiades.stoa.org/places/658409,,Seals,,Berroia: was bishop of Berroia,Dignity,Dignity,,,,
Joseph,20102,417239,Aleppo,https://pleiades.stoa.org/places/658409,,Seals,,Beroe: was strategos of Beroe,Dignity,Dignity,,,,
