Name,Code,Factoid ID,Location,Pleiades,Geonames,Source,Source loc,Description in PBW,Releven formula,RELEVEN location type,Date,Dating authority,Outside source,Notes
Walter,4001,431489,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,I.6,Constantinople: was well received by Alexios 001 at Constantinople, Walter 4001: Constantinople: Specifies presence ,Specifies presence,J 1096,Albert of Aachen,,
Hugh,4001,431555,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.7,Constantinople: was imprisoned by <Alexios 1> in Constantinople,Hugh 4001: Constantinople: Specifies presence ,Specifies presence,,,,
Clarembald,4001,431556,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.7,Constantinople: was imprisoned by Alexios 001 in Constantinople,Clarembald 4001: Constantinople: Specifies presence ,Specifies presence,,,,
Drogo,4001,431557,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.7,Constantinople: was imprisoned by Alexios 001 in Constantinople,Drogo 4001: Constantinople: Specifies presence ,Specifies presence,,,,
William,4006,431561,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,II.9,Constantinople: was probably imprisoned in Constantinople,William 4006: Constatinople: Does not specify presence ,Does not specify presence,,,,
Ridwan,4001,431658,Aleppo,https://pleiades.stoa.org/places/658409,,Albert of Aachen,IV.2,Aleppo: was ruler of Aleppo,Ridwan 4001: Aleppo: Specifies presence,Specifies presence,,,,
Hugh,26109,443000,St Abraham (Hebron),,,Albert of Aachen,ix.48,St Abraham (Hebron): was lord of St Abraham (Hebron),Hugh 26109: St Abraham (Hebron): Specifies presence (Digntiy) ,Dignity,J 1105,Albert of Aachen,,
Anselm,26102,431824,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.24,Constantinople: died in Constantinople,Anselm 26102: Constantinople: Specifies presence ,Specifies presence,J 1101,Albert of Aachen,,
Anselm,26102,431806,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.4,Constantinople: Blachernai: could not prevent the Lombards from outside the city attacking  Blachernai,"Anselm 26102: Constantinople, Blachernai: Does not specify presence ",Does not specify presence,J 1101,Albert of Aachen,,
Albert,26102,431807,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.4,Constantinople: Blachernai: could not prevent the Lombards from outside the city attacking  Blachernai,"Albert 26102: Constantinople, Blachernai: Does not specify presence ",Does not specify presence,J 1101,Albert of Aachen,,
Anonymus,26149,431808,Constantinople,https://pleiades.stoa.org/places/520998,,Albert of Aachen,VIII.4,Constantinople: Blachernai: was killed in an attack by the Lombard crusaders on  Blachernai,"Anonymus 26149: Constantinople, Blachernai: Specifies presence ",Specifies presence,J 1101,Albert of Aachen,,
Cocosander,26101,443133,Lagabria (unidentified),,,Albert of Aachen,XII.19,Lagabria (unidentified): was said to come from the town of Lagabria,Cocosander 26101:Lagabria (unidentified): Does not specify presence ,Does not specify presence,,,,
Zachakios,101,225907,Arke,,,Alexios Stoudites,13.16,Arke: was bishop of Arke,Zachakios 101: Arke: Specifies presence (Dignity),Dignity,,,,
Niketas,141,225942,Bizye (Thrace),https://pleiades.stoa.org/places/511190,,Alexios Stoudites,"20.10, Rhalles-Potles 5.32",Bizye (Thrace): was archbishop of Bizye (Thrace),Niketas 141: Bizye (Thrace): Specifies presence  (Dignity),Dignity,,,,
Alexios,11,225901,Constantinople,https://pleiades.stoa.org/places/520998,,Alexios Stoudites,"8.1, 25.1, 47, VV 12.516",Constantinople: was archbishop (patriarch) of Constantinople,Alexios 11: Constantinople: Specifies presence  (Dignity),Dignity,,,,
Sulayman,5000,433158,Drakon river,,,Anna Komnene,116.96,Drakon river: had his boundary with Byzantium fixed at the Drakon river,Sulayman 5000: Dracon River: Does not specify presence  //// Correction //// Alexios 1: Dracon River: Specifies presence ,Specifies presence,J 1081,Anna Komnene,,
Robert,61,433168,Glossa (headland opposite Kerkyra),,,Anna Komnene,117.38,Glossa (headland opposite Kerkyra): suffered severely in a storm near Glossa,Robert 61: Glossa: Specifies presence near,Specifies presence near,J 1081,Anna Komnene,,
Anonymus,690,433178,Epidamnos,,,Anna Komnene,119.84,Epidamnos: he claimed to have camped with <Robert 61> around the ruins of the ancient city of Epidamnos,Anonymous envoy from Bishop of Bari: Epidamnus: Specifies presence ,Specifies presence,J 1081,Anna Komnene,,
Bohemond,61,433209,Pallia (near Dyrrachion): church of the Theotokos,,,Anna Komnene,123.91-92,Pallia (near Dyrrachion): church of the Theotokos: was defeated by the Venetians near the church of the Theotokos,"Bohemond 61: Pallia (near Dyrrachion), church of the Theotokos: Specifies presence near",Specifies presence near,J 1081 June,Anna Komnene,,June of fourth indiction
Robert,61,433220,Glykys (river in Epiros),,,Anna Komnene,125.61,Glykys (river in Epiros): was blockaded in his camp on the river Glykys,Robert 61: River Glykys (river in Epiros): Specifies presence,Specifies presence,J 1081,Anna Komnene,,
Alexios,1,433253,Dyrrachion: Hagios Nikolaos,,,Anna Komnene,129.86,Dyrrachion: Hagios Nikolaos: looked for a battle-ground near Hagios Nikolaos (four stades from the city),Alexios 1: Hagios Nikolaos (four miles from Dyrrachion): Specifies presence ,Specifies presence,"J 1081, 15th October ",Anna Komnene,, 15th October of the fifth indiction
Robert,61,433277,Dyrrachion: Hagios Theodoros,,,Anna Komnene,132.79-80,Dyrrachion: Hagios Theodoros: took communion before the battle at Hagios Theodoros,Robert 61: Hagios Theodoros (near Dyrrachion): Specifies presence ,Specifies presence,"J 1081, 18th October ",Anna Komnene,, 18th October of the fifth indiction
Nampites,8101,433301,Dyrrachion: Church of Archangel Michael,,,Anna Komnene,134.41-46,Dyrrachion: Church of Archangel Michael: His troops were massacred and the survivors burned in the church of the Archangel Michael,Nampites 8101: Church of Archangel Michael (near Dyrrachion): Specifies presence ,Specifies presence,J 1081,Anna Komnene,,
Alexios,1,433307,Kake Pleura (near Dyrrachion),,,Anna Komnene,136.11,Kake Pleura (near Dyrrachion): his horse miraculously leapt up a crag at Kake Pleura,Alexios 1: Kake Pleura (near Dyrrachion): Specifies presence ,Specifies presence,J 1081,Anna Komnene,,
Leon,114,433393,Constantinople: Theotokos at the Chalkoprateia,,,Anna Komnene,145.19-22,Constantinople: Theotokos at the Chalkoprateia: complained at the removal of silver and gold from the doors of the church of the Theotokos at Chalkoprateia,Leon 114: Theotokos at Chalkoprateia (Constantinople): Specifies presence  ,Specifies presence,J 1081-82 TIQ,Anna Komnene,,
Leon,114,433399,"Sozopolis (Bulgaria, on the Black Sea)",https://pleiades.stoa.org/places/216706,,Anna Komnene,146.55,"Sozopolis (Bulgaria, on the Black Sea): was exiled to Sozopolis",Leon 114: Sozopolis (Bulgaria on Black sea): Specifies presence ,Specifies presence,J 1081-82 TIQ,Anna Komnene,,
Alexios,1,372935,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,146.72,Constantinople: left <Gregorios 61> in charge in the West and returned to Constantinople,Alexios 1: Constantinople: Specifies presence at the capital (Constantinople) ,Specifies presence,J 1081-82 TIQ,Anna Komnene,,
Alexios,1,372940,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,153.67,Constantinople: was defeated twice by <Bohemond 61> and returned to Constantinople,Alexios 1: Constantinople: Specifies presence at the capital (Constantinople),Specifies presence,"J 1082, After May ",Anna Komnene,,After 'the month of may'
Alexios,1,372941,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,154.20-21,Constantinople: left Constantinople,Alexios 1: Constantinople: Specifies presence ,Specifies presence,J 1083,Anna Komnene,,
Alexios,1,433436,Kissabos (mountain),,,Anna Komnene,154.23,"Kissabos (mountain): on the way to Larissa, passed Mt Kissabos",Alexios 1: Kissabos Mountain: Specifies presence ,Specifies presence,J 1083,Anna Komnene,,passed by on way to Larissa
Alexios,1,433437,Gardens of Delphinas,,,Anna Komnene,154.28-15529,Gardens of Delphinas: Reached Trikala via the Gardens of Delphinas,Alexios 1: Gardens of Delphinas: Specifies presence ,Specifies presence,J 1083,Anna Komnene,,passed by on way to Trikala
Bohemond,61,433452,Lykostomion,,,Anna Komnene,156.80,Lykostomion: suffered a defeat at (and made Greek puns on) Lykostomion,This entry does not appear to correpsond to translated text,Unclear,,,,
Alexios,1,433453,Lykostomion,,,Anna Komnene,156.80,Lykostomion: won a victory at Lykostomion,Correction: Alexios 1: Larissa: Specifies presence near ,Specifies presence near,J 1083,Anna Komnene,,
Alexios,1,433460,Libotanion (gorge near Larissa),,,Anna Komnene,157.86,"Libotanion (gorge near Larissa): on his way to an ambush, passed through the gorge of Libotanion",Alexios 1: The pass of Libotanion (near Larissa): Specifies presence ,Specifies presence,J 1083,Anna Komnene,,passed through on way to ambush
Alexios,1,433461,Rebenikon (near Larissa),,,Anna Komnene,157.87,"Rebenikon (near Larissa): on his way to an ambush, passed through Rebenikon",Alexios 1: Rebenikon (near Larissa): Specifies presence ,Specifies presence,J 1083,Anna Komnene,, passed by on way to ambush
Alexios,1,433459,Allage (near Larissa),,,Anna Komnene,157.87-88,"Allage (near Larissa): on his way to an ambush, passed through Allage",Alexios 1: Allage (near Larissa): Specifies presence,Specifies presence,J 1083,Anna Komnene,,", passed by on way to ambush"
Bohemond,61,433476,Palace of Domenikos (ravine near Larissa),,,Anna Komnene,159.70-71,Palace of Domenikos (ravine near Larissa): camped in the ravine of the Palace of Domenikos,Bohemond 61: Palace of Domenikos (a plain by Larissa): Specifies presence ,Specifies presence,J 1083,Anna Komnene,,
Alexios,1,372949,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,161.28,Constantinople: defeated <Bohemond 61> at Larissa and returned to Constantinople,Alexios 1: Constantinople: Specifies presence at Queen of Cities (Constantinople),Specifies presence,,,,
Alexios,1,433496,Moliskos (near Kastoria),,,Anna Komnene,168.24,Moliskos (near Kastoria): carried small boats to attack Kastoria on waggons from Moliskos,Alexios 1: Moliskos (near Kastoria): Does not specify presence,Does not specify presence,-,,,
Alexios,1,433505,Kastoria: Hagios Georgios,,,Anna Komnene,169.51,Kastoria: Hagios Georgios: Norman counts deserting to him were to meet at Hagios Georgios,Alexios 1: Hagios Georgios (Kastoria): Specifies presence ,Specifies presence,,,,to accept allegience of Norman counts 
Alexios,1,372911,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,17.78,Constantinople: stopped to rest at his grandfather's town (Kastamon) during his journey to Constantinople,Alexios 1 : Kastamon: Specifies presence ,Specifies presence,,,, on way to Royal City (Assertion: Constantinople)
Alexios,1,372951,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,171.11,Constantinople: returned from Mosynopolis to Constantinople,Alexios 1: Constantinople: Specifies presence at Queen of Cities (Constantinople),Specifies presence,,,,
Traulos,101,433538,Glabinitza (near Dyrrachion),,,Anna Komnene,174.4-5,Glabinitza (near Dyrrachion): won over the chiefs of the Pechenegs living around Glabinitza,Traulos 101: Glabinitza (near Dyrrachion): Specifies presence ,Specifies presence,,,,met with Scythians (Pechenges)
Traulos,101,433528,Beliatoba (near Philippoupolis),,,Anna Komnene,174.93,Beliatoba (near Philippoupolis): began riding from a mountain fort called Beliatoba,Traulos 101: Beliatoba (near Philippopolis): Specifies presence ,Specifies presence,,,,
Robert,61,433579,Kassope (Kerkyra),,,Anna Komnene,177.72,Kassope (Kerkyra): was defeated by the Venetians in a sea-battle at Kassope,Robert 61: Kasspoe (Kerkyra): Specifies presence ,Specifies presence,,,,where he was defeated by Venetian fleet
Alexios,1,433593,Venice: St Mark's,,https://www.geonames.org/7535507,Anna Komnene,178.30,"Venice: St Mark's: benefited many Venetian churches with gifts, especially St Mark's",Alexios 1: Venice: Does not specify presence,Does not specify presence,,,,
Alexios,1,433594,Constantinople: Quay of the Jews (old),,,Anna Komnene,179.32,Constantinople: Quay of the Jews (old): defined the concession made to the Venetians (at one end) by the Old Quay of the Jews,Alexios 1: Old Quay of Jews (Constantinople): Does not specify presence,Does not specify presence,,,,
Alexios,1,433595,Constantinople: Vigla,,,Anna Komnene,179.33,Constantinople: Vigla: defined the concession made to the Venetians (at one end) by the Vigla,Alexios 1: Vigla: Does not specify presence,Does not specify presence,,,,
Robert,61,433598,Kephallenia: Ather (promontory),,,Anna Komnene,179.48,Kephallenia: Ather (promontory): died near Ather,Robert 61: Ather promontory (Kephallenia): Specifies presence near,Specifies presence near,J 1085,Anna Komnene,,In the 25th year of his reign
Robert,61,433603,Venosa (Apulia-Calabria border),,,Anna Komnene,180.74,Venosa (Apulia-Calabria border): was buried in the family tomb at Venosa,Robert 61: Venosa (Apulia-Calabria border): Specifies presence  (buried there),Specifies presence,,,,
Alexios,1,372954,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,183.79,Constantinople: returned victorious to Constantinople,Alexios 1: Conatantinople: Specifies presence ,Specifies presence,"J 1083, December ",Anna Komnene,,In December of the seventh Indiction
Abul-Kasim,15001,433720,"Halykai (or Kyparission, Bithynia)",,,Anna Komnene,190.16,"Halykai (or Kyparission, Bithynia): transferred shipbuilding operations to Halykai",Abul-Kasim 15001: Halykai or Kyparission (Bithynia): Does not specify presence,Does not specify presence,J 1093,Anna Komnene,,
Abul-Kasim,15001,433721,"Kyparission (or Halykai, Bithynia)",,,Anna Komnene,190.16,"Kyparission (or Halykai, Bithynia): transferred shipbuilding operations to Kyparission","' same as above""",Specifies presence,J 1093,Anna Komnene,,
Abul-Kasim,15001,433729,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,191.48,"Constantinople: to allow the construction of Kibotos, he was hospitably entertained in Constantinople",Abul-Kasim 15001: Constantinople: Specifies presence ,Specifies presence,J 1093,Anna Komnene,,
Alexios,1,433737,Hagios Georgios (fortress on the Lake of Nicaea),,,Anna Komnene,194.28-29,Hagios Georgios: sent forces which reached Hagios Georgios,Alexios 1: Hagios Georgios: Does not speciy presence,Does not specify presence,,,,
Basileios,61,372890,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,195.93,Constantinople: was sent on an embassy to <Malik-Shah 51> from Constantinople,Basileios 61: Constantinople: Specifies presence ,Specifies presence,,,,
Gregorios,61,433837,Beliatoba (near Philippoupolis),,,Anna Komnene,200.44,Beliatoba (near Philippoupolis): died in battle near Beliatoba,Gregorios 61: Beliatoba (near Philippoupolis): Specifies presence ,Specifies presence,J 1086,Anna Komnene,,
Tatikios,61,433841,Red Bank (on the Maritza),,,Anna Komnene,201.80,Red Bank (on the Maritza): won a victory over the Pechenegs at Red Bank,Tatikios 61: Red Bank (on the Maritza): Specifies presence ,Specifies presence,J 1086,Anna Komnene,,
Nikolaos,15002,373065,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,204.34,Constantinople: returned from Koule after victory against the Pechenegs to receive gifts and honours from the emperor in Constantinople,Nikolaos 15002: Constantinople: Specifies presence ,Specifies presence,J 1087  Spring ,Anna Komnene,,"At the approach of spring,"
Alexios,1,372971,Beroe (Thrace),,,Anna Komnene,214.54,Beroe: to ransom captives taken by the Pechenegs moved to Beroe,Alexios 1: Beroe (Thrace): Specifies presence,Specifies presence,,,,
Alexios,1,372972,Beroe (Thrace),,,Anna Komnene,216.3,Beroe: was informed by <Nikephoros 115> of ransoms demanded by the Pechenegs for Byzantine captives whilst waiting at Beroe,Alexios 1: Beroe (Thrace): Specifies presence ,Specifies presence,,,,
Alexios,1,372974,Beroe (Thrace),,,Anna Komnene,218.50,Beroe: remained to collect his troops together at Beroe,Alexios 1:  Beroe (Thrace): Specifies presence ,Specifies presence,,,,
Robert,103,433854,Beroe (Thrace),,,Anna Komnene,218.50,Beroe (Thrace): met <Alexios 1> at Beroe,Robert 103: Beroe (Thrace): Specifies presence ,Specifies presence,,,,and met Alexios 1
Alexios,1,433855,Beroe (Thrace),,,Anna Komnene,218.50,Beroe (Thrace): met <Robert 103> at Beroe,Alexios 1:  Beroe (Thrace):  Specifies presence ,Specifies presence,,,,and met Robert 103
Alexios,1,433869,Taurokomos (Thrace),https://pleiades.stoa.org/places/222199,,Anna Komnene,220.19,Taurokomos (Thrace): watched the Pechenegs as they wintered at Taurokomos,Alexios 1:  Taurokomos (Thrace): Does not specify presence ,Does not specify presence,,,,
Tzachas,61,433914,Klazomenai,,,Anna Komnene,222.75,Klazomenai: stormed Klazomenai,Tzachas 61: Klazomenai : Specifies presence ,Specifies presence,,,,
Konstantinos,15019,433916,Bolissos (Chios),,,Anna Komnene,224.57,Bolissos (Chios): planned to move his fleet to Bolissos,Konstantinos 15019: Bolissos (Chios): Does not specify presence ,Does not specify presence,,,,
Alexios,1,372986,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,227.38,Constantinople: heard that the Pechenegs were threatening Rousion and immediately left Constantinople,Alexios 1: Constantinople: Specifies presence ,Specifies presence,,,,
Neantzes,15001,433926,Hades (Thrace),,,Anna Komnene,227.57,Hades (Thrace): betrayed <Alexios 1> at the battle of Hades,Neantzes 15001: Hades (Thrace): Specifies presence,Specifies presence,,,,left  after hearing Pechenegs were threatening Rousion
Monastras,15001,433959,Aspron (near Raidestos),,,Anna Komnene,229.35,Aspron (near Raidestos): returned to Rousion via Aspron,Monastras 15001: Rousion: Specifies presence ,Specifies presence,,,, having arrived via Aspron
Ouzas,15001,433961,Aspron (near Raidestos),,,Anna Komnene,229.35,Aspron (near Raidestos): returned to Rousion via Aspron,Ouzas 15001: Rousion: Specifies presence,Specifies presence,,,, having arrived via Aspron
Synesios,15001,433963,Aspron (near Raidestos),,,Anna Komnene,229.35,Aspron (near Raidestos): Returned to Rousion via Aspron,Synesios 15001: Rousion: Specifies presence ,Specifies presence,,,, having arrived via Aspron
Alexios,1,434005,Bathys Ryax (near Constantinople): church of St Theodoros,,,Anna Komnene,241.57-59,Bathys Ryax (near Constantinople): church of St Theodoros: could not even protect pilgrims going to the church of St Theodoros,Alexios 1: Bathys Ryax (near Constantinople): Does not specify presence ,Does not specify presence,-,,,
Tzachas,61,434010,Krithai (on the Thracian Chersonesos),,,Anna Komnene,241.78,Krithai (on the Thracian Chersonesos): promised mercenaries rich rewards when he took Krithai,Tzachas 61: Krithai (on the Thracian Chersonesos): Does not specify presence ,Does not specify presence,,,,
Alexios,1,434049,Philokales (ford near Lebounion),,,Anna Komnene,245.94,Philokales (ford near Lebounion): crossed to his new camp at Lebounion via the ford of Philokales,Alexios 1: Philokales (ford near Lebounion): Specifies presence ,Specifies presence,,,,
Alexios,1,434079,Kala Dendra (18 stades from Choirenoi),,,Anna Komnene,250.57,Kala Dendra (18 stades from Choirenoi): to avoid the stench of corpses went to Kala Dendra,Alexios 1: Kala Dendra (18 stades from Choirenoi): Specifies presence ,Specifies presence,,,,
Nikephoros,115,434080,Kala Dendra (18 stades from Choirenoi),,,Anna Komnene,250.57,Kala Dendra (18 stades from Choirenoi): met <Alexios 1> on the way to Kala Dendra,Nikephoros 115: Kala Dendra (18 stades from Choirenoi): Specifies presence ,Specifies presence,,,,
Isaakios,61,434148,Marmara: Hagios Phokas,,,Anna Komnene,256.59,Marmara: Hagios Phokas: entertained <Theodoros 6003> in a beautiful house near Hagios Phokas,Isaakios 61: Hagios Phokas (in a suburb situated on Marmara): Specifies presence ,Specifies presence,,,,
Theodoros,6003,434155,Aiginoupolis (Paphlagonia),,,Anna Komnene,257.79,Aiginoupolis (Paphlagonia): was caught in his escape between Karambis and Aiginoupolis,"Theodoros 6003: Aiginoupolis (Paphlagonia, near to a town named Carambis): Specifies presence near",Specifies presence near,,,,
Theodoros,6003,434156,Karambis (Paphlagonia),,,Anna Komnene,257.79-80,Karambis (Paphlagonia): was caught during his escape between Aiginoupolis and Karambis,Theodoros 6003: Karambis (Paphlagonia):  Specifies presence near,Specifies presence near,,,,
Anonymus,700,434191,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,259.51,Constantinople: was on leave from Mitylene in Constantinople,Anonymus 700: Constantinople: Specifies presence,Specifies presence,,,,
Ioannes,65,373082,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,261.31,Constantinople: returned from Mitylene to Constantinople,Ioannes 65: Constantinople: Specifies presence ,Specifies presence,,,,
Anonymus,418,434227,"Nemesos (Lemesos, Cyprus)",,,Anna Komnene,263.69,"Nemesos (Lemesos, Cyprus): was arrested near Nemesos","Anonymus 418: Nemesos (Lemesos, Cyprus): Specifies presence near ",Specifies presence near,,,,
Manuel,62,434228,"Nemesos (Lemesos, Cyprus)",,,Anna Komnene,263.69,"Nemesos (Lemesos, Cyprus): arrested <Anonymus 418> near Nemesos","Manuel 62: Nemesos (Lemesos, Cyprus): Specifies presence near ",Specifies presence near,,,,
Bolkanos,15001,434279,Sphentzanion (Dalmatian border),,,Anna Komnene,266.61,Sphentzanion (Dalmatian border): sent envoys to <Alexios 1> from Sphentzanion,Bolkanos 15001: Sphentzanion (Dalmatian border): Specifies presence ,Specifies presence,,,,
Bolkanos,15001,434298,"Branea (mountainous area, Macedonia)",,,Anna Komnene,267.12,"Branea (mountainous area, Macedonia): raided as far as Branea","Bolkanos 15001: Branea (mountainous area, Macedonia): Specifies presence ",Specifies presence,,,,
Alexios,1,434301,Daphnoution,,,Anna Komnene,268.23,"Daphnoution: on his way to Dalmatia, stopped at Daphnoution",Alexios 1: Daphnoution: Specifies presence ,Specifies presence,,,,
Nikephoros,64,434303,Daphnoution,,,Anna Komnene,268.23,Daphnoution: made an attempt on <Alexios 1>'s life at Daphnoution, Nikephoros 64: Daphnoution: Specifies presence ,Specifies presence,,,,
Arsakes,15001,372899,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,282.30,Constantinople: was a member of a group of Armenians conducting conversations with <Neilos 15001> in Constantinople,Arsakes 15001: Constantinople: Specifies presence ,Specifies presence,,,, met with Neilos 15001
Tikranes,15001,372900,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,282.30,Constantinople: was a member of a group of Armenians conducting conversations with <Neilos 15001> in Constantinople,Tikranes 15001: Constantinople: Specifies presence ,Specifies presence,,,, met with Neilos 15001
Ioannes,117,434492,Beroe (Thrace),,,Anna Komnene,286.45,Beroe (Thrace): was sent to protect the neighbourhood of Beroe,Ioannes 117: Beroe (Thrace): Specifies presence ,Specifies presence,,,,
Nikephoros,115,434493,Beroe (Thrace),,,Anna Komnene,286.45,Beroe (Thrace): was sent to protect the neighbourhood of Beroe,Nikephoros 115: Beroe (Thrace): Specifies presence ,Specifies presence,,,,
Georgios,61,434499,Beroe (Thrace),,,Anna Komnene,286.45,Beroe (Thrace): was sent to protect the neighbourhood of Beroe,Georgios 61: Beroe (Thrace): Specifies presence ,Specifies presence,,,,
Alexios,1,434505,Chortarea (pass through Balkan Mts),,,Anna Komnene,286.50-51,Chortarea (pass through Balkan Mts): went to the pass of Chortarea,Alexios 1: Chortarea (pass through Balkan Mts): Specifies presence,Specifies presence,,,,
Konstantinos,123,434548,Kalathades (near Adrianople),,,Anna Komnene,289.54,Kalathades (near Adrianople): attacked Adrianople from the direction of Kalathades,Konstantinos 123: Kalathades (near Adrianople): Does not specify presence ,Does not specify presence,,,,
Kitzes,101,434588,Taurokomos (Thrace),https://pleiades.stoa.org/places/222199,,Anna Komnene,293.74,Taurokomos (Thrace): gathered all his booty on a ridge at Taurokomos,Kitzes 101: Taurokomos (Thrace): Specifies presence ,Specifies presence,,,,
Alexios,1,434591,Adrianople (Thrace): House of Silvestros,https://pleiades.stoa.org/places/5014275,,Anna Komnene,294.14-15,Adrianople (Thrace): House of Silvestros: spent several days at the house of Silvestros,Alexios 1: House of Silvestros (Adrianople): Specifies presence ,Specifies presence,,,,
Alexios,1,434602,Skoutarion (near Adrianople),,,Anna Komnene,294.27,Skoutarion (near Adrianople): ordered his army to gather at Skoutarion,Alexios 1: Skoutarion (near Adrianople): Specifies presence ,Specifies presence,,,,
Alexios,1,434603,Agathonike  (near Adrianople),,,Anna Komnene,294.28,"Agathonike  (near Adrianople): before defeating the Cumans, his army moved to Agathonike",Alexios 1: Agathonike  (near Adrianople): Specifies presence ,Specifies presence,,,,
Alexios,1,434605,Avrilevo  (near Adrianople),,,Anna Komnene,294.29,Avrilevo  (near Adrianople): decisively defeated the Cumans near Avrilevo,Alexios 1: Avrilevo (near Adrianople): Specifies presence near ,Specifies presence near,,,,
Petros,61,434624,Xerigordos (Bithynia),,,Anna Komnene,300.11-12,Xerigordos (Bithynia): German militants from his army captured Xerigordos,Petros 61: Xerigordos (Bithynia): Does not specify presence,Does not specify presence,,,,
Elchanes,15002,434625,Drakon river,,,Anna Komnene,300.30,Drakon river: massacred the People's Crusade near the Drakon river,Elchanes 15002: Drakon river: Specifies presence ,Specifies presence,,,,
Manuel,62,373099,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,303.17,Constantinople: was sent to escort Oubos (<Hugh 4001>) from Dyrrachion to Constantinople,Manuel 62: Epindamnus (Dyrrachium): Specifies presence ,Specifies presence,,,,
Bohemond,61,373054,Constantinople,https://pleiades.stoa.org/places/520998,,Anna Komnene,317.21,Constantinople: took only ten counts with him when meeting <Alexios 1> at Constantinople,Bohemond 61: Constantinople: Specifies presence ,Specifies presence,,,,
Raymond,61,435261,Nicaea: tower of Gonates,,,Anna Komnene,324.63,Nicaea: tower of Gonates: made a special attack on the tower of Gonates,Raymond 61: Nicaea: tower of Gonates: Specifies presence ,Specifies presence,,,,
Alexios,1,435276,Mesampela,,,Anna Komnene,325.98,Mesampela: camped for the siege of Nicaea at Pelekanos near Mesampela,Alexios 1: Pelekanos near Mesampela: Specifies presence near,Specifies presence near,,,,
Alexios,1,444013,Hagios Georgios (fortress on the Lake of Nicaea),,,Anna Komnene,326.28-29,"Hagios Georgios (fortress on the Lake of Nicaea): in the crusader siege of Nicaea, used Hagios Georgios ",Alexios 1: Hagios Georgios (fortress on the Lake of Nicaea): Does not specify presence,Does not specify presence,,,,
Manuel,62,435291,Hagios Georgios (fortress on the Lake of Nicaea),,,Anna Komnene,327.81-82,Hagios Georgios (fortress on the Lake of Nicaea): allowed Turks from Nicaea to go to Hagios Georgios,Manuel 62: Hagios Georgios (fortress on the Lake of Nicaea): Does not specify presence,Does not specify presence,,,,
Bohemond,61,435327,Leukai (on the Sangarios),,,Anna Komnene,330.80,Leukai (on the Sangarios): took over the vanguard of the crusader army at Leukai,Bohemond 61: Leukai (on the Sangarios): Specifies presence ,Specifies presence,,,,
Bohemond,61,435335,Augoustopolis (Phrygia),,,Anna Komnene,331.13,Augoustopolis (Phrygia): fought another battle against the Turks at Augoustopolis [very unlikely],Bohemond 61: Augoustopolis (Phrygia): Specifies presence ,Specifies presence,,,,
Asan,15001,372885,Hebraike (borders of Phrygia and Galatia),,,Anna Komnene,331.2,Hebraike (borders of Phrygia and Galatia): opposed <Bohemond 61> at the battle of Hebraike [probably a much later battle],Asan 15001: Hebraike (borders of Phrygia and Galatia): Specifies presence ,Specifies presence,,,,
Danishmend,101,372898,Hebraike (borders of Phrygia and Galatia),,,Anna Komnene,331.2,Hebraike (borders of Phrygia and Galatia): opposed <Bohemond 61> at the battle of Hebraike [probably a much later battle],Danishmend 101: Hebraike (borders of Phrygia and Galatia): Specifies presence ,Specifies presence,,,,
Bohemond,61,373060,Hebraike (borders of Phrygia and Galatia),,,Anna Komnene,331.2,"Hebraike (borders of Phrygia and Galatia): met and defeated the forces of <Danishmend 101>, <Asan 15001> and <Kilic Arslan 51> at Hebraike [probably a much later battle]",Bohemond 61: Hebraike (borders of Phrygia and Galatia): Specifies presence ,Specifies presence,,,,
Tatikios,61,435597,"Soudi (St Symeon), port of Antioch",,,Anna Komnene,333.53,"Soudi (St Symeon), port of Antioch: left Antioch for Cyprus via Soudi","Tatikios 61: Soudi (St Symeon), port of Antioch: Specifies presence ",Specifies presence,,,, left for Cyprus
